ResponseId,DatabaseWantToWorkWith
1118,MariaDB
1118,Microsoft SQL Server
1121,MongoDB
1121,PostgreSQL
1121,SQLite
1123,Cockroachdb
1123,Dynamodb
1123,Elasticsearch
1123,Firebird
1123,MariaDB
1123,Microsoft SQL Server
1123,MongoDB
1123,MySQL
1123,Oracle
1123,PostgreSQL
1123,Redis
1123,SQLite
1124,Cosmos DB
1124,MongoDB
1124,Redis
1124,SQLite
1125,Microsoft SQL Server
1125,MySQL
1126,Cassandra
1126,MariaDB
1126,MongoDB
1126,MySQL
1126,Redis
1126,SQLite
1128,Cassandra
1128,Dynamodb
1128,Elasticsearch
1128,Firebase Realtime Database
1128,MariaDB
1128,MongoDB
1128,MySQL
1128,PostgreSQL
1128,SQLite
1129,MongoDB
1129,PostgreSQL
1134,PostgreSQL
1135,MariaDB
1135,Microsoft SQL Server
1135,MySQL
1135,PostgreSQL
1135,SQLite
1140,Microsoft SQL Server
1141,PostgreSQL
1141,SQLite
1142,Elasticsearch
1142,MongoDB
1142,MySQL
1142,Neo4J
1142,PostgreSQL
1142,Redis
1142,Snowflake
1142,SQLite
1145,PostgreSQL
1145,SQLite
1148,MariaDB
1151,Microsoft SQL Server
1151,PostgreSQL
1151,Redis
1152,Elasticsearch
1152,Firebase Realtime Database
1152,Microsoft SQL Server
1152,MongoDB
1152,MySQL
1152,Redis
1152,Snowflake
1152,SQLite
1157,PostgreSQL
1159,MariaDB
1159,MongoDB
1159,MySQL
1159,Redis
1159,Supabase
1164,BigQuery
1164,Firebase Realtime Database
1164,MariaDB
1164,MongoDB
1164,MySQL
1164,PostgreSQL
1164,Redis
1164,Snowflake
1164,SQLite
1168,PostgreSQL
1168,Redis
1168,SQLite
1171,Elasticsearch
1172,Firebase Realtime Database
1172,MariaDB
1172,MySQL
1176,Dynamodb
1176,Elasticsearch
1176,PostgreSQL
1177,MySQL
1177,PostgreSQL
1177,Redis
1177,SQLite
1178,Cosmos DB
1178,Elasticsearch
1178,MongoDB
1178,PostgreSQL
1178,Redis
1178,Solr
1179,MariaDB
1179,MySQL
1179,PostgreSQL
1179,SQLite
1180,Cloud Firestore
1180,Supabase
1181,MySQL
1182,Databricks SQL
1182,Datomic
1182,PostgreSQL
1182,Snowflake
1185,Microsoft SQL Server
1185,SQLite
1194,MongoDB
1194,Redis
1207,Dynamodb
1207,MongoDB
1207,MySQL
1207,Redis
1212,MySQL
1212,PostgreSQL
1214,Dynamodb
1214,Elasticsearch
1214,Firebase Realtime Database
1214,InfluxDB
1214,MariaDB
1214,MongoDB
1214,MySQL
1214,PostgreSQL
1214,Redis
1214,SQLite
1214,Supabase
1216,Cosmos DB
1216,Microsoft SQL Server
1219,MySQL
1220,BigQuery
1220,MySQL
1220,Redis
1222,Cosmos DB
1223,MariaDB
1223,MySQL
1224,MongoDB
1224,PostgreSQL
1225,Cockroachdb
1225,Redis
1227,EventStoreDB
1227,Firebase Realtime Database
1227,MySQL
1227,Redis
1227,Snowflake
1228,MongoDB
1228,PostgreSQL
1228,Redis
1231,PostgreSQL
1231,Redis
1232,InfluxDB
1232,PostgreSQL
1232,Redis
1232,SQLite
1235,InfluxDB
1235,Microsoft SQL Server
1235,SQLite
1238,Elasticsearch
1238,MariaDB
1238,MySQL
1238,PostgreSQL
1240,MariaDB
1240,PostgreSQL
1240,SQLite
1244,MongoDB
1244,MySQL
1244,PostgreSQL
1244,Redis
1249,Dynamodb
1249,MariaDB
1249,MongoDB
1249,PostgreSQL
1250,Dynamodb
1250,PostgreSQL
1251,Elasticsearch
1251,MariaDB
1251,MySQL
1251,Redis
1251,Solr
1252,Microsoft SQL Server
1252,SQLite
1259,H2
1259,MariaDB
1259,MySQL
1259,PostgreSQL
1262,MariaDB
1262,MySQL
1262,PostgreSQL
1262,Redis
1264,Microsoft SQL Server
1264,PostgreSQL
1267,Microsoft SQL Server
1267,Redis
1278,Firebase Realtime Database
1278,MongoDB
1278,MySQL
1278,PostgreSQL
1278,Redis
1278,SQLite
1278,Supabase
1283,Microsoft SQL Server
1285,PostgreSQL
1285,Redis
1285,SQLite
1287,Microsoft SQL Server
1287,MongoDB
1287,Redis
1288,Elasticsearch
1288,Microsoft SQL Server
1288,PostgreSQL
1288,Redis
1288,SQLite
1290,Microsoft SQL Server
1296,Microsoft SQL Server
1296,PostgreSQL
1297,Cosmos DB
1297,MongoDB
1299,Cloud Firestore
1299,SQLite
1300,MariaDB
1300,MongoDB
1300,SQLite
1309,Dynamodb
1316,Firebase Realtime Database
1316,H2
1316,MongoDB
1316,MySQL
1316,Oracle
1316,PostgreSQL
1319,Cosmos DB
1319,Microsoft SQL Server
1323,BigQuery
1323,Cloud Firestore
1323,Firebase Realtime Database
1330,BigQuery
1330,DuckDB
1330,PostgreSQL
1330,Redis
1330,Supabase
1331,Databricks SQL
1331,DuckDB
1331,Microsoft SQL Server
1331,Snowflake
1335,Cloud Firestore
1335,MySQL
1336,Elasticsearch
1336,Firebase Realtime Database
1336,MongoDB
1336,PostgreSQL
1336,Redis
1336,Supabase
1339,Microsoft SQL Server
1339,PostgreSQL
1342,BigQuery
1342,Cloud Firestore
1342,PostgreSQL
1342,Snowflake
1343,MongoDB
1343,MySQL
1343,PostgreSQL
1343,Redis
1345,MongoDB
1345,MySQL
1345,PostgreSQL
1345,Redis
1345,SQLite
1346,Microsoft SQL Server
1349,Dynamodb
1349,PostgreSQL
1349,SQLite
1350,PostgreSQL
1352,Cassandra
1352,Cockroachdb
1352,PostgreSQL
1352,Redis
1353,Microsoft SQL Server
1353,PostgreSQL
1355,Firebird
1355,MariaDB
1355,MySQL
1355,PostgreSQL
1355,SQLite
1356,PostgreSQL
1357,Elasticsearch
1357,MariaDB
1357,MySQL
1357,PostgreSQL
1357,Redis
1361,MongoDB
1361,PostgreSQL
1365,Cosmos DB
1365,Microsoft SQL Server
1365,Redis
1367,MongoDB
1370,Dynamodb
1370,MySQL
1370,PostgreSQL
1370,Snowflake
1373,Cosmos DB
1373,Elasticsearch
1373,Microsoft SQL Server
1373,PostgreSQL
1373,SQLite
1373,Supabase
1376,Cosmos DB
1376,Couch DB
1376,Microsoft SQL Server
1380,Clickhouse
1380,MariaDB
1380,PostgreSQL
1380,SQLite
1385,MongoDB
1386,MySQL
1386,PostgreSQL
1386,Redis
1388,Dynamodb
1388,InfluxDB
1388,Microsoft SQL Server
1388,MongoDB
1388,PostgreSQL
1388,Redis
1390,Cosmos DB
1390,Elasticsearch
1390,Microsoft SQL Server
1390,PostgreSQL
1390,Redis
1390,SQLite
1391,Cassandra
1391,Couch DB
1391,Couchbase
1391,InfluxDB
1391,MongoDB
1391,PostgreSQL
1399,Dynamodb
1399,PostgreSQL
1403,Cassandra
1403,Dynamodb
1403,Elasticsearch
1403,Microsoft SQL Server
